
--- 무선 수집 시작 (2026-07-11 20:50:13) ---
[2026-07-11 20:50:18] ⚠️ 송신기 센서 연결 상태 에러 (-999)
[2026-07-12T09:45:24] temperature=27.0C | humidity=43.0% | lux=218.0
[2026-07-12T09:45:35] temperature=27.0C | humidity=43.0% | lux=221.0
[2026-07-12T09:46:02] temperature=27.0C | humidity=42.0% | lux=215.0
[2026-07-12T09:46:13] temperature=26.0C | humidity=42.0% | lux=212.0
[2026-07-12T09:46:24] temperature=26.0C | humidity=42.0% | lux=218.0
[2026-07-12T09:46:35] temperature=26.0C | humidity=42.0% | lux=220.0
[2026-07-12T09:46:47] temperature=26.0C | humidity=42.0% | lux=215.0
[2026-07-12T09:46:58] temperature=26.0C | humidity=42.0% | lux=219.0
[2026-07-12T09:47:10] temperature=26.0C | humidity=43.0% | lux=220.0
[2026-07-12T09:47:22] temperature=26.0C | humidity=43.0% | lux=218.0
[2026-07-12T09:47:33] temperature=26.0C | humidity=43.0% | lux=215.0
[2026-07-12T09:47:45] temperature=26.0C | humidity=43.0% | lux=221.0
[2026-07-12T09:47:57] temperature=26.0C | humidity=43.0% | lux=217.0
[2026-07-12T09:48:08] temperature=26.0C | humidity=43.0% | lux=214.0
[2026-07-12T09:48:20] temperature=26.0C | humidity=43.0% | lux=218.0
[2026-07-12T09:48:31] temperature=26.0C | humidity=43.0% | lux=217.0
[2026-07-12T09:48:43] temperature=26.0C | humidity=43.0% | lux=0.0
[2026-07-12T09:48:55] temperature=26.0C | humidity=43.0% | lux=217.0
[2026-07-12T09:49:06] temperature=26.0C | humidity=43.0% | lux=208.0
